Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
BOOT_BUTTON,24,108.41,180,BUTTON_CUSYOMV1,MYBUTTON
C1,149.66,15.82,270,100nF,EAGLE-LTSPICE_C0402
C10,67.51,108.26,270,100nF,EAGLE-LTSPICE_C0402
C10_SUPERCAP,96.66,52.85,90,CPH3225A,CAPCP3225X100N
C1_BAT,119.45,56.36,180,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT1,123.28,42.57,270,4.7uF,EAGLE-LTSPICE_C0402
C1_BAT2,139.09,39.28,90,4.7uF,EAGLE-LTSPICE_C0402
C2,146.2,29.43,270,100nF,EAGLE-LTSPICE_C0402
C2_BAT,133.56,59.36,270,4.7uF,EAGLE-LTSPICE_C0402
C3,134.27,38.52,90,100uF,RCL_CT3528
C4,101.09,26.2,180,4.7uF/25V,EAGLE-LTSPICE_C0402
C4_USB,148.83,57.28,90,100nF,EAGLE-LTSPICE_C0402
C5,45.11,108.22,270,1uF,EAGLE-LTSPICE_C0402
C5_USB,156.68,57.36,270,4.7uF,EAGLE-LTSPICE_C0402
C6,20.36,108.26,270,100nF,EAGLE-LTSPICE_C0402
C7,105.21,31.44,90,10uF,EAGLE-LTSPICE_C0402
C8,96.88,55.9,0,100nF,EAGLE-LTSPICE_C0402
C9,14.18,98.44,270,100nF,EAGLE-LTSPICE_C0402
CHANGE_BUTTON,64.05,108.45,180,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,124.6,57.07,180,,ADAFRUIT_CHIP-LED0603
C_DELAY,49.7,99.31,90,100nF,EAGLE-LTSPICE_C0402
D1,153.2,54.68,0,USBLC6-2SC6Y,SOT95P280X145-6N
D10,15.89,26.57,90,PGB1010603MR,DIOC1608X36N
D11,12.88,26.57,90,PGB1010603MR,DIOC1608X36N
D12,9.86,26.57,90,PGB1010603MR,DIOC1608X36N
D2,126.34,42.49,270,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,105.18,38.03,0,MBR0530,SOD3716X135N
D4,115.39,19.4,270,MBR0530,SOD3716X135N
D5,80.41,25.53,90,MBR0530,SOD3716X135N
D6,19.93,26.57,90,PGB1010603MR,DIOC1608X36N
D7,91.99,61.49,180,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D8,21.94,26.57,90,PGB1010603MR,DIOC1608X36N
D9,17.91,26.57,90,PGB1010603MR,DIOC1608X36N
EPD_C1,111.48,19.61,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C10,88.11,19.95,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C11,86.13,20.12,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C12,84.35,20.1,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C2,109.77,19.58,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C5,105.21,35.34,270,0.1uF/50V,EAGLE-LTSPICE_C0402
EPD_C6,103.44,18.91,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C7,95.42,20.18,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C8,92.31,20.26,270,1uF/50V,EAGLE-LTSPICE_C0402
EPD_C9,90.39,20.05,90,1uF/50V,EAGLE-LTSPICE_C0402
IC1,45.17,99.68,0,BD5229G-TR,SOT95P280X125-5N
IC4,130.41,42.68,0,XC6220A331MR-G,SOT95P280X120-5N
J1,100.09,13.31,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
J2,166.67,54.3,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J3,167.09,19.43,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,8.35,87.62,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
L1,100.59,30.66,0,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE
MCP73831,132.61,55.5,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
PFMF.050.1,152.28,44.34,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,138.76,45.56,180,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,94.68,34.66,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,91.04,29.49,90,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,24.33,25.52,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-USB,153.84,51.44,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,11,33.53,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,129.05,54.6,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,84.93,45.28,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,157.12,9.82,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,125.18,39.47,180,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,83.69,11.52,0,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,153.84,50.28,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,133.03,52.09,180,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,90.61,45.28,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,151.63,9.82,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,112.49,28.52,270,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,80.96,29.46,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,25.72,31.78,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,16,33.53,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,18.83,32.52,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,6.93,29.52,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,23.47,30.78,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.04,108.45,180,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,30.88,107.22,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,96.88,57.82,0,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.6,104.17,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,94.28,37.44,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,53.45,106.42,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,158.74,16.51,180,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,83.91,15.6,0,,SJ
TP1,1.87,60.34,0,TPTP20R,TP20R
TP10,110,13,0,TPTP20R,TP20R
TP11,118,13.08,0,TPTP20R,TP20R
TP12,114.32,12.95,0,TPTP20R,TP20R
TP13,86.72,37.52,0,TPTP20R,TP20R
TP14,118.04,59.7,0,TPTP20R,TP20R
TP15,87.49,67.6,0,TPTP20R,TP20R
TP16,7,77,0,TPTP20R,TP20R
TP17,86.69,34,0,TPTP20R,TP20R
TP2,1.96,63.08,0,TPTP20R,TP20R
TP3,136.49,64.7,0,TPTP20R,TP20R
TP4,2.41,75.95,0,TPTP20R,TP20R
TP5,143.41,65.03,0,TPTP20R,TP20R
TP6,2,98.99,0,TPTP20R,TP20R
TP7,5.86,98.93,0,TPTP20R,TP20R
TP8,8.67,99.11,0,TPTP20R,TP20R
